UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_difference,torque-per-rpm
1500,M16359,M,298.1,308.8,2206,16.3,195,0,0,0,0,0,0,10.699999999999989,0.007388939256572983
1501,M16360,M,298.0,308.7,2101,17.4,198,0,0,0,0,0,0,10.699999999999989,0.008281770585435506
1502,M16361,M,298.0,308.7,1436,48.2,201,0,0,0,0,0,0,10.699999999999989,0.03356545961002786
1503,L48682,L,298.0,308.7,1462,48.2,204,0,0,0,0,0,0,10.699999999999989,0.032968536251709986
1504,L48683,L,298.0,308.7,1771,26.2,206,0,0,0,0,0,0,10.699999999999989,0.014793901750423489
1505,L48684,L,298.0,308.7,1506,47.0,208,0,0,0,0,0,0,10.699999999999989,0.031208499335989376
1506,L48685,L,298.0,308.7,1626,36.7,210,0,0,0,0,0,0,10.699999999999989,0.022570725707257076
1507,L48686,L,298.0,308.8,1610,33.7,212,0,0,0,0,0,0,10.800000000000011,0.020931677018633542
1508,M16367,M,298.0,308.6,1376,55.7,214,0,0,0,0,0,0,10.600000000000023,0.0404796511627907
1509,M16368,M,298.0,308.6,1507,37.3,217,0,0,0,0,0,0,10.600000000000023,0.02475116124751161
1510,L48689,L,298.0,308.5,1429,37.7,220,1,1,0,0,0,0,10.5,0.026382085374387687
1511,M16370,M,298.1,308.7,1547,38.9,0,0,0,0,0,0,0,10.599999999999966,0.025145442792501613
1512,L48691,L,298.1,308.7,1642,30.3,3,0,0,0,0,0,0,10.599999999999966,0.018453105968331305
1513,H30926,H,298.0,308.7,1503,36.3,5,0,0,0,0,0,0,10.699999999999989,0.024151696606786427
1514,L48693,L,298.1,308.7,1568,32.9,10,0,0,0,0,0,0,10.599999999999966,0.020982142857142855
1515,M16374,M,298.1,308.8,1628,37.6,12,0,0,0,0,0,0,10.699999999999989,0.023095823095823097
1516,M16375,M,298.2,308.9,1614,35.5,15,0,0,0,0,0,0,10.699999999999989,0.021995043370508054
1517,L48696,L,298.2,308.9,1278,54.0,18,0,0,0,0,0,0,10.699999999999989,0.04225352112676056
1518,M16377,M,298.2,308.9,1408,38.8,20,0,0,0,0,0,0,10.699999999999989,0.02755681818181818
1519,H30932,H,298.2,309.0,1371,55.7,23,0,0,0,0,0,0,10.800000000000011,0.040627279358132755
1520,M16379,M,298.2,308.9,1512,38.5,28,0,0,0,0,0,0,10.699999999999989,0.02546296296296296
1521,L48700,L,298.3,309.1,1472,40.1,31,0,0,0,0,0,0,10.800000000000011,0.02724184782608696
1522,M16381,M,298.2,308.9,1585,34.3,33,0,0,0,0,0,0,10.699999999999989,0.021640378548895896
1523,H30936,H,298.2,309.0,1562,37.7,36,0,0,0,0,0,0,10.800000000000011,0.02413572343149808
1524,L48703,L,298.3,309.0,1519,36.9,41,0,0,0,0,0,0,10.699999999999989,0.024292297564186965
1525,L48704,L,298.2,309.0,1601,35.8,43,0,0,0,0,0,0,10.800000000000011,0.02236102435977514
1526,L48705,L,298.2,309.0,2449,13.8,45,0,0,0,0,0,0,10.800000000000011,0.005634953042057983
1527,L48706,L,298.1,309.0,1787,27.6,47,0,0,0,0,0,0,10.899999999999977,0.01544487968662563
1528,H30941,H,298.1,309.1,1425,44.5,49,0,0,0,0,0,0,11.0,0.031228070175438598
1529,L48708,L,298.1,309.0,1559,34.0,54,0,0,0,0,0,0,10.899999999999977,0.021808851828094934
1530,L48709,L,298.1,309.0,1557,36.0,56,0,0,0,0,0,0,10.899999999999977,0.023121387283236993
1531,L48710,L,298.1,309.0,1497,40.5,58,0,0,0,0,0,0,10.899999999999977,0.027054108216432865
1532,H30945,H,298.1,309.0,1438,41.4,60,0,0,0,0,0,0,10.899999999999977,0.02878998609179416
1533,M16392,M,298.1,308.9,1417,39.2,65,0,0,0,0,0,0,10.799999999999955,0.02766407904022583
1534,M16393,M,298.0,308.9,1339,51.4,68,0,0,0,0,0,0,10.899999999999977,0.038386855862584016
1535,L48714,L,298.0,308.8,1757,29.1,71,0,0,0,0,0,0,10.800000000000011,0.016562322140011385
1536,L48715,L,298.0,308.8,1581,36.1,73,0,0,0,0,0,0,10.800000000000011,0.022833649588867806
1537,M16396,M,298.2,308.9,1326,54.4,75,0,0,0,0,0,0,10.699999999999989,0.041025641025641026
1538,M16397,M,298.4,309.1,1467,39.6,78,0,0,0,0,0,0,10.700000000000045,0.026993865030674847
1539,L48718,L,298.4,309.1,1798,29.6,81,0,0,0,0,0,0,10.700000000000045,0.01646273637374861
1540,M16399,M,298.5,309.2,1449,46.4,83,0,0,0,0,0,0,10.699999999999989,0.03202208419599724
1541,M16400,M,298.4,309.1,1525,39.3,86,0,0,0,0,0,0,10.700000000000045,0.025770491803278686
1542,L48721,L,298.4,309.0,2304,15.1,89,0,0,0,0,0,0,10.600000000000023,0.006553819444444445
1543,L48722,L,298.3,308.9,1379,54.7,91,0,0,0,0,0,0,10.599999999999966,0.03966642494561277
1544,L48723,L,298.4,308.9,1628,34.9,93,0,0,0,0,0,0,10.5,0.021437346437346436
1545,L48724,L,298.4,309.0,1474,52.7,95,0,0,0,0,0,0,10.600000000000023,0.03575305291723203
1546,M16405,M,298.4,309.0,1544,38.8,97,0,0,0,0,0,0,10.600000000000023,0.025129533678756474
1547,L48726,L,298.4,308.9,1391,48.4,100,0,0,0,0,0,0,10.5,0.03479511143062545
1548,L48727,L,298.3,308.9,1348,55.5,102,0,0,0,0,0,0,10.599999999999966,0.041172106824925815
1549,M16408,M,298.3,308.8,1349,52.1,104,0,0,0,0,0,0,10.5,0.03862120088954781
1550,L48729,L,298.4,308.9,1706,29.5,107,0,0,0,0,0,0,10.5,0.017291910902696366
1551,L48730,L,298.4,308.9,1638,32.4,109,0,0,0,0,0,0,10.5,0.01978021978021978
1552,L48731,L,298.4,308.8,1458,40.1,111,0,0,0,0,0,0,10.400000000000034,0.027503429355281207
1553,L48732,L,298.5,308.9,1781,27.8,113,0,0,0,0,0,0,10.399999999999977,0.015609208309938238
1554,L48733,L,298.5,308.8,1332,59.1,115,0,0,0,0,0,0,10.300000000000011,0.04436936936936937
1555,M16414,M,298.4,308.7,1584,31.7,117,0,0,0,0,0,0,10.300000000000011,0.020012626262626263
1556,L48735,L,298.4,308.6,1491,42.0,120,0,0,0,0,0,0,10.200000000000045,0.028169014084507043
1557,H30970,H,298.4,308.5,1398,47.1,122,0,0,0,0,0,0,10.100000000000023,0.03369098712446352
1558,L48737,L,298.3,308.4,1585,30.6,127,0,0,0,0,0,0,10.099999999999966,0.019305993690851737
1559,M16418,M,298.2,308.3,1476,43.5,129,0,0,0,0,0,0,10.100000000000023,0.029471544715447155
1560,L48739,L,298.2,308.3,1458,41.8,132,0,0,0,0,0,0,10.100000000000023,0.028669410150891632
1561,M16420,M,298.2,308.4,1510,39.9,134,0,0,0,0,0,0,10.199999999999989,0.02642384105960265
1562,L48741,L,298.2,308.4,1388,53.8,137,0,0,0,0,0,0,10.199999999999989,0.03876080691642651
1563,L48742,L,298.2,308.3,2216,16.8,139,0,0,0,0,0,0,10.100000000000023,0.007581227436823105
1564,L48743,L,298.2,308.3,1402,51.0,141,0,0,0,0,0,0,10.100000000000023,0.03637660485021398
1565,M16424,M,298.0,308.2,2090,19.0,143,0,0,0,0,0,0,10.199999999999989,0.00909090909090909
1566,L48745,L,298.0,308.2,1459,42.1,146,0,0,0,0,0,0,10.199999999999989,0.02885538039753256
1567,M16426,M,298.0,308.1,1403,44.8,148,0,0,0,0,0,0,10.100000000000023,0.03193157519600855
1568,L48747,L,298.1,308.2,1521,39.3,151,0,0,0,0,0,0,10.099999999999966,0.02583826429980276
1569,L48748,L,298.2,308.2,1407,47.1,153,0,0,0,0,0,0,10.0,0.03347547974413646
1570,M16429,M,298.1,308.2,1654,35.3,155,0,0,0,0,0,0,10.099999999999966,0.021342200725513905
1571,L48750,L,298.2,308.4,1452,43.5,158,0,0,0,0,0,0,10.199999999999989,0.029958677685950414
1572,L48751,L,298.3,308.4,1528,37.3,160,0,0,0,0,0,0,10.099999999999966,0.024410994764397904
1573,L48752,L,298.2,308.3,1230,59.6,162,0,0,0,0,0,0,10.100000000000023,0.04845528455284553
1574,L48753,L,298.2,308.2,1466,42.4,164,0,0,0,0,0,0,10.0,0.028922237380627557
1575,L48754,L,298.2,308.2,1478,50.1,166,0,0,0,0,0,0,10.0,0.033897158322056836
1576,L48755,L,298.2,308.3,2057,18.0,168,0,0,0,0,0,0,10.100000000000023,0.008750607681088965
1577,L48756,L,298.3,308.4,1490,41.7,170,0,0,0,0,0,0,10.099999999999966,0.027986577181208054
1578,L48757,L,298.3,308.4,1484,43.4,172,0,0,0,0,0,0,10.099999999999966,0.029245283018867925
1579,L48758,L,298.3,308.4,1593,37.0,174,0,0,0,0,0,0,10.099999999999966,0.02322661644695543
1580,L48759,L,298.3,308.3,1444,43.8,176,0,0,0,0,0,0,10.0,0.030332409972299166
1581,M16440,M,298.3,308.4,1444,47.5,178,0,0,0,0,0,0,10.099999999999966,0.03289473684210526
1582,M16441,M,298.2,308.3,1560,33.0,181,0,0,0,0,0,0,10.100000000000023,0.021153846153846155
1583,H30996,H,298.1,308.3,1530,42.0,184,0,0,0,0,0,0,10.199999999999989,0.027450980392156862
1584,L48763,L,298.2,308.4,1310,61.0,189,1,0,0,0,1,0,10.199999999999989,0.046564885496183206
1585,M16444,M,298.2,308.3,1639,33.3,191,0,0,0,0,0,0,10.100000000000023,0.020317266625991457
1586,L48765,L,298.2,308.3,1400,48.7,194,0,0,0,0,0,0,10.100000000000023,0.03478571428571429
1587,M16446,M,298.3,308.4,1486,44.2,196,0,0,0,0,0,0,10.099999999999966,0.0297442799461642
1588,M16447,M,298.2,308.3,1448,43.3,199,0,0,0,0,0,0,10.100000000000023,0.02990331491712707
1589,L48768,L,298.2,308.3,1688,32.0,202,0,0,0,0,0,0,10.100000000000023,0.018957345971563982
1590,M16449,M,298.1,308.3,1453,41.5,204,0,0,0,0,0,0,10.199999999999989,0.02856159669649002
1591,L48770,L,298.2,308.4,1497,37.7,207,0,0,0,0,0,0,10.199999999999989,0.02518370073480294
1592,L48771,L,298.2,308.4,1355,49.4,209,0,0,0,0,0,0,10.199999999999989,0.03645756457564576
1593,L48772,L,298.1,308.4,1592,38.2,211,0,0,0,0,0,0,10.299999999999955,0.023994974874371862
1594,L48773,L,298.0,308.3,1544,34.7,213,0,0,0,0,0,0,10.300000000000011,0.022474093264248707
1595,M16454,M,298.0,308.2,1373,51.2,215,0,0,0,0,0,0,10.199999999999989,0.037290604515659145
1596,L48775,L,298.0,308.2,1365,52.9,218,1,0,0,0,1,0,10.199999999999989,0.03875457875457875
1597,L48776,L,298.0,308.1,1877,24.3,0,0,0,0,0,0,0,10.100000000000023,0.01294619072988812
1598,L48777,L,297.9,308.1,1531,40.8,2,0,0,0,0,0,0,10.200000000000045,0.026649248856956236
1599,L48778,L,297.9,308.0,1501,36.7,4,0,0,0,0,0,0,10.100000000000023,0.02445036642238508
1600,L48779,L,297.9,308.0,1490,46.2,6,0,0,0,0,0,0,10.100000000000023,0.031006711409395975
1601,M16460,M,297.8,307.8,1543,43.7,8,0,0,0,0,0,0,10.0,0.028321451717433572
1602,L48781,L,297.8,307.8,1597,38.2,11,0,0,0,0,0,0,10.0,0.023919849718221666
1603,H31016,H,297.8,307.9,1600,33.5,13,0,0,0,0,0,0,10.099999999999966,0.0209375
1604,M16463,M,297.8,307.8,1622,32.1,18,0,0,0,0,0,0,10.0,0.019790382244143034
1605,L48784,L,297.8,307.8,1452,39.8,21,0,0,0,0,0,0,10.0,0.027410468319559227
1606,L48785,L,297.8,307.8,1396,42.5,23,0,0,0,0,0,0,10.0,0.03044412607449857
1607,L48786,L,297.8,307.7,1505,39.7,25,0,0,0,0,0,0,9.899999999999977,0.02637873754152824
1608,L48787,L,297.8,307.8,1412,48.3,27,0,0,0,0,0,0,10.0,0.03420679886685552
1609,L48788,L,297.8,307.7,1393,38.0,29,0,0,0,0,0,0,9.899999999999977,0.027279253409906678
1610,L48789,L,297.7,307.7,1581,34.9,31,0,0,0,0,0,0,10.0,0.022074636306135355
1611,L48790,L,297.8,307.8,1573,37.9,33,0,0,0,0,0,0,10.0,0.024094087730451366
1612,M16471,M,297.8,307.9,1726,27.3,35,0,0,0,0,0,0,10.099999999999966,0.01581691772885284
1613,M16472,M,297.9,307.9,1540,39.8,38,0,0,0,0,0,0,10.0,0.025844155844155843
1614,L48793,L,297.9,308.0,1296,62.9,41,0,0,0,0,0,0,10.100000000000023,0.04853395061728395
1615,M16474,M,297.8,307.9,1802,25.8,43,0,0,0,0,0,0,10.099999999999966,0.014317425083240845
1616,L48795,L,297.8,307.9,1447,48.6,46,0,0,0,0,0,0,10.099999999999966,0.033586731167933655
1617,H31030,H,297.8,307.8,1662,30.7,48,0,0,0,0,0,0,10.0,0.018471720818291217
1618,L48797,L,297.8,307.8,1563,34.3,53,0,0,0,0,0,0,10.0,0.021944977607165704
1619,L48798,L,297.9,307.8,1286,59.5,55,0,0,0,0,0,0,9.900000000000034,0.046267496111975115
1620,L48799,L,297.9,307.7,1590,34.6,57,0,0,0,0,0,0,9.800000000000011,0.021761006289308178
1621,L48800,L,297.9,307.7,1492,43.7,59,0,0,0,0,0,0,9.800000000000011,0.029289544235924937
1622,L48801,L,297.7,307.6,1844,21.9,61,0,0,0,0,0,0,9.900000000000034,0.011876355748373101
1623,H31036,H,297.7,307.6,1538,38.3,63,0,0,0,0,0,0,9.900000000000034,0.024902470741222364
1624,L48803,L,297.7,307.6,1921,22.9,68,0,0,0,0,0,0,9.900000000000034,0.011920874544508069
1625,M16484,M,297.8,307.8,1310,57.9,70,0,0,0,0,0,0,10.0,0.044198473282442745
1626,L48805,L,297.9,307.8,1365,46.9,73,0,0,0,0,0,0,9.900000000000034,0.03435897435897436
1627,M16486,M,297.9,307.8,1303,59.3,75,0,0,0,0,0,0,9.900000000000034,0.04551036070606293
1628,L48807,L,297.9,307.8,1499,37.5,78,0,0,0,0,0,0,9.900000000000034,0.025016677785190126
1629,L48808,L,297.9,307.8,1451,38.2,80,0,0,0,0,0,0,9.900000000000034,0.026326671261199176
1630,M16489,M,297.9,307.9,1336,54.4,82,0,0,0,0,0,0,10.0,0.0407185628742515
1631,L48810,L,297.9,307.9,1412,44.5,85,0,0,0,0,0,0,10.0,0.03151558073654391
1632,L48811,L,298.0,308.0,1433,39.2,87,0,0,0,0,0,0,10.0,0.027355198883461274
1633,L48812,L,297.9,307.9,1426,43.6,89,0,0,0,0,0,0,10.0,0.030575035063113605
1634,L48813,L,297.9,307.9,1476,45.2,91,0,0,0,0,0,0,10.0,0.030623306233062333
1635,H31048,H,297.9,307.9,1406,58.5,93,0,0,0,0,0,0,10.0,0.041607396870554765
1636,L48815,L,297.8,307.8,1383,56.5,98,0,0,0,0,0,0,10.0,0.040853217642805494
1637,L48816,L,297.9,307.8,1505,37.3,100,0,0,0,0,0,0,9.900000000000034,0.024784053156146176
1638,L48817,L,297.9,307.8,1665,33.9,102,0,0,0,0,0,0,9.900000000000034,0.02036036036036036
1639,L48818,L,297.9,307.8,1397,45.0,104,0,0,0,0,0,0,9.900000000000034,0.03221188260558339
1640,M16499,M,297.9,307.8,1450,43.5,106,0,0,0,0,0,0,9.900000000000034,0.03
1641,L48820,L,298.0,307.8,1567,36.4,109,0,0,0,0,0,0,9.800000000000011,0.023229100191448627
1642,M16501,M,298.0,308.0,1555,37.0,111,0,0,0,0,0,0,10.0,0.023794212218649517
1643,H31056,H,298.0,307.8,1588,35.4,114,0,0,0,0,0,0,9.800000000000011,0.02229219143576826
1644,L48823,L,298.0,307.8,1453,37.7,119,0,0,0,0,0,0,9.800000000000011,0.025946317962835516
1645,L48824,L,298.0,307.8,1622,33.3,121,0,0,0,0,0,0,9.800000000000011,0.020530209617755854
1646,L48825,L,297.9,307.8,1538,38.5,123,0,0,0,0,0,0,9.900000000000034,0.02503250975292588
1647,M16506,M,297.9,307.7,1527,42.8,125,0,0,0,0,0,0,9.800000000000011,0.02802881466928618
1648,L48827,L,297.8,307.8,1761,28.9,128,0,0,0,0,0,0,10.0,0.01641113003975014
1649,L48828,L,297.9,307.8,1373,50.2,130,0,0,0,0,0,0,9.900000000000034,0.036562272396212674
1650,H31063,H,298.0,307.9,1482,37.8,132,0,0,0,0,0,0,9.899999999999977,0.025506072874493926
1651,M16510,M,298.0,307.9,1417,51.0,137,0,0,0,0,0,0,9.899999999999977,0.03599153140437544
1652,L48831,L,298.0,307.8,1414,51.7,140,0,0,0,0,0,0,9.800000000000011,0.03656294200848657
1653,H31066,H,297.9,307.8,1635,34.0,142,0,0,0,0,0,0,9.900000000000034,0.020795107033639144
1654,L48833,L,298.0,307.8,1386,57.3,147,0,0,0,0,0,0,9.800000000000011,0.04134199134199134
1655,L48834,L,298.2,308.1,1379,62.3,149,0,0,0,0,0,0,9.900000000000034,0.04517766497461929
1656,M16515,M,298.2,308.0,1577,35.9,151,0,0,0,0,0,0,9.800000000000011,0.022764743183259353
1657,L48836,L,298.2,308.1,1532,42.5,154,0,0,0,0,0,0,9.900000000000034,0.027741514360313316
1658,M16517,M,298.1,308.0,1374,48.8,156,0,0,0,0,0,0,9.899999999999977,0.03551673944687045
1659,H31072,H,298.1,308.0,1570,35.3,159,0,0,0,0,0,0,9.899999999999977,0.022484076433121017
1660,L48839,L,298.1,308.0,1697,31.0,164,0,0,0,0,0,0,9.899999999999977,0.018267530936947555
1661,L48840,L,298.2,308.0,1499,44.1,166,0,0,0,0,0,0,9.800000000000011,0.02941961307538359
1662,M16521,M,298.2,308.0,1411,47.2,168,0,0,0,0,0,0,9.800000000000011,0.03345145287030475
1663,H31076,H,298.2,307.9,1462,45.5,171,0,0,0,0,0,0,9.699999999999989,0.03112175102599179
1664,M16523,M,298.1,307.9,1759,28.6,176,0,0,0,0,0,0,9.799999999999955,0.01625923820352473
1665,L48844,L,298.2,308.0,1535,38.0,179,0,0,0,0,0,0,9.800000000000011,0.024755700325732898
1666,H31079,H,298.2,307.9,1491,39.7,181,0,0,0,0,0,0,9.699999999999989,0.026626425217974516
1667,L48846,L,298.2,307.9,1551,36.0,186,0,0,0,0,0,0,9.699999999999989,0.02321083172147002
1668,L48847,L,298.2,307.9,1769,27.2,188,0,0,0,0,0,0,9.699999999999989,0.01537591859807801
1669,L48848,L,298.2,307.9,1551,34.1,190,0,0,0,0,0,0,9.699999999999989,0.02198581560283688
1670,L48849,L,298.2,307.9,1544,31.4,192,0,0,0,0,0,0,9.699999999999989,0.02033678756476684
1671,L48850,L,298.2,307.8,1528,31.1,194,0,0,0,0,0,0,9.600000000000023,0.02035340314136126
1672,L48851,L,298.1,307.9,1614,35.8,196,0,0,0,0,0,0,9.799999999999955,0.022180916976456008
1673,L48852,L,298.1,307.8,1432,49.8,198,0,0,0,0,0,0,9.699999999999989,0.03477653631284916
1674,M16533,M,298.1,307.8,1384,43.7,200,0,0,0,0,0,0,9.699999999999989,0.03157514450867052
1675,L48854,L,298.1,307.8,1540,37.8,203,0,0,0,0,0,0,9.699999999999989,0.024545454545454544
1676,L48855,L,298.0,307.7,1407,43.9,205,0,0,0,0,0,0,9.699999999999989,0.031201137171286423
1677,H31090,H,297.9,307.6,1418,43.0,207,0,0,0,0,0,0,9.700000000000045,0.030324400564174896
1678,M16537,M,297.9,307.5,1647,30.8,212,0,0,0,0,0,0,9.600000000000023,0.01870066788099575
1679,L48858,L,298.0,307.5,1644,32.8,215,0,0,0,0,0,0,9.5,0.01995133819951338
1680,L48859,L,298.0,307.5,1792,27.9,217,0,0,0,0,0,0,9.5,0.015569196428571427
1681,M16540,M,297.9,307.4,1610,34.6,219,0,0,0,0,0,0,9.5,0.021490683229813665
1682,M16541,M,297.8,307.3,1804,26.0,222,0,0,0,0,0,0,9.5,0.014412416851441241
1683,H31096,H,297.9,307.4,1604,36.1,225,1,1,0,0,0,0,9.5,0.022506234413965088
1684,M16543,M,297.9,307.4,1403,52.8,0,0,0,0,0,0,0,9.5,0.037633642195295795
1685,L48864,L,297.8,307.3,1438,44.5,3,0,0,0,0,0,0,9.5,0.030945757997218357
1686,L48865,L,297.9,307.3,1824,26.3,5,0,0,0,0,0,0,9.400000000000034,0.014418859649122807
1687,H31100,H,297.9,307.3,1663,28.7,7,0,0,0,0,0,0,9.400000000000034,0.01725796752856284
1688,L48867,L,297.9,307.3,1502,36.7,12,0,0,0,0,0,0,9.400000000000034,0.024434087882822905
1689,L48868,L,297.9,307.4,1606,35.5,14,0,0,0,0,0,0,9.5,0.02210460772104608
1690,L48869,L,297.9,307.5,1561,37.7,16,0,0,0,0,0,0,9.600000000000023,0.024151185137732224
1691,M16550,M,297.9,307.4,1435,42.9,18,0,0,0,0,0,0,9.5,0.02989547038327526
1692,L48871,L,297.9,307.5,1602,38.3,21,0,0,0,0,0,0,9.600000000000023,0.023907615480649187
1693,M16552,M,298.1,307.6,1764,27.7,23,0,0,0,0,0,0,9.5,0.015702947845804987
1694,H31107,H,298.0,307.5,1683,27.8,26,0,0,0,0,0,0,9.5,0.016518122400475344
1695,L48874,L,298.0,307.5,1618,35.2,31,0,0,0,0,0,0,9.5,0.021755253399258344
1696,L48875,L,298.0,307.6,1509,41.6,33,0,0,0,0,0,0,9.600000000000023,0.027567925778661365
1697,L48876,L,297.9,307.6,1550,39.0,35,0,0,0,0,0,0,9.700000000000045,0.025161290322580646
1698,M16557,M,297.9,307.6,1519,44.0,37,0,0,0,0,0,0,9.700000000000045,0.028966425279789335
1699,L48878,L,297.9,307.6,1481,38.0,40,0,0,0,0,0,0,9.700000000000045,0.025658338960162053
1700,L48879,L,298.1,307.7,1289,48.3,42,0,0,0,0,0,0,9.599999999999966,0.03747090768037238
1701,M16560,M,298.0,307.6,1844,23.8,44,0,0,0,0,0,0,9.600000000000023,0.012906724511930586
1702,L48881,L,298.0,307.7,1479,42.5,47,0,0,0,0,0,0,9.699999999999989,0.028735632183908046
1703,L48882,L,298.0,307.7,1430,47.3,49,0,0,0,0,0,0,9.699999999999989,0.03307692307692307
1704,M16563,M,298.1,307.8,1636,36.7,51,0,0,0,0,0,0,9.699999999999989,0.02243276283618582
1705,M16564,M,298.1,307.8,1503,44.7,54,0,0,0,0,0,0,9.699999999999989,0.02974051896207585
1706,M16565,M,298.1,307.8,1608,32.6,57,0,0,0,0,0,0,9.699999999999989,0.02027363184079602
1707,L48886,L,298.2,307.8,1521,42.9,60,0,0,0,0,0,0,9.600000000000023,0.028205128205128206
1708,L48887,L,298.2,307.8,1439,41.6,62,0,0,0,0,0,0,9.600000000000023,0.028908964558721335
1709,L48888,L,298.2,307.8,1627,31.5,64,0,0,0,0,0,0,9.600000000000023,0.01936078672403196
1710,L48889,L,298.2,307.8,1749,26.1,66,0,0,0,0,0,0,9.600000000000023,0.014922813036020584
1711,L48890,L,298.2,307.8,1530,35.9,68,0,0,0,0,0,0,9.600000000000023,0.023464052287581697
1712,L48891,L,298.2,307.8,1355,51.3,70,0,0,0,0,0,0,9.600000000000023,0.03785977859778598
1713,L48892,L,298.3,307.9,1551,33.8,72,0,0,0,0,0,0,9.599999999999966,0.02179239200515796
1714,L48893,L,298.2,307.8,1515,46.7,74,0,0,0,0,0,0,9.600000000000023,0.030825082508250827
1715,L48894,L,298.2,307.8,1388,48.6,76,0,0,0,0,0,0,9.600000000000023,0.03501440922190202
1716,L48895,L,298.2,307.8,1585,34.6,78,0,0,0,0,0,0,9.600000000000023,0.021829652996845427
1717,L48896,L,298.1,307.7,1523,37.7,80,0,0,0,0,0,0,9.599999999999966,0.024753775443204205
1718,L48897,L,298.2,307.6,1369,54.5,82,0,0,0,0,0,0,9.400000000000034,0.03981008035062089
1719,M16578,M,298.2,307.7,1681,31.0,84,0,0,0,0,0,0,9.5,0.018441403926234383
1720,L48899,L,298.2,307.7,1503,38.3,87,0,0,0,0,0,0,9.5,0.025482368596141048
1721,L48900,L,298.2,307.7,1459,44.5,89,0,0,0,0,0,0,9.5,0.03050034270047978
1722,L48901,L,298.2,307.7,1688,32.4,91,0,0,0,0,0,0,9.5,0.01919431279620853
1723,M16582,M,298.2,307.7,1952,21.6,93,0,0,0,0,0,0,9.5,0.011065573770491804
1724,L48903,L,298.2,307.8,2029,19.9,96,0,0,0,0,0,0,9.600000000000023,0.00980778708723509
1725,M16584,M,298.3,307.8,1457,52.5,98,0,0,0,0,0,0,9.5,0.03603294440631435
1726,M16585,M,298.3,307.8,1392,50.4,101,0,0,0,0,0,0,9.5,0.036206896551724134
1727,L48906,L,298.3,307.8,1906,22.1,104,0,0,0,0,0,0,9.5,0.011594963273871984
1728,M16587,M,298.3,307.7,1602,33.4,106,0,0,0,0,0,0,9.399999999999977,0.020848938826466917
1729,L48908,L,298.3,307.7,1465,49.4,109,0,0,0,0,0,0,9.399999999999977,0.03372013651877133
1730,M16589,M,298.3,307.7,1439,43.8,111,0,0,0,0,0,0,9.399999999999977,0.030437804030576786
1731,M16590,M,298.3,307.8,1330,55.4,114,0,0,0,0,0,0,9.5,0.04165413533834586
1732,M16591,M,298.3,307.9,1485,42.0,117,0,0,0,0,0,0,9.599999999999966,0.028282828282828285
1733,H31146,H,298.4,307.9,1700,28.2,120,0,0,0,0,0,0,9.5,0.016588235294117647
1734,L48913,L,298.4,308.0,1515,42.8,125,0,0,0,0,0,0,9.600000000000023,0.02825082508250825
1735,M16594,M,298.5,308.1,1501,39.2,127,0,0,0,0,0,0,9.600000000000023,0.026115922718187877
1736,L48915,L,298.4,308.0,1380,47.6,130,0,0,0,0,0,0,9.600000000000023,0.034492753623188405
1737,L48916,L,298.4,307.9,1544,35.9,132,0,0,0,0,0,0,9.5,0.023251295336787565
1738,L48917,L,298.4,307.9,1743,27.3,134,0,0,0,0,0,0,9.5,0.01566265060240964
1739,H31152,H,298.4,307.9,1948,21.4,136,0,0,0,0,0,0,9.5,0.010985626283367555
1740,H31153,H,298.5,307.9,1260,54.2,141,0,0,0,0,0,0,9.399999999999977,0.04301587301587302
1741,M16600,M,298.5,307.9,1640,33.1,146,0,0,0,0,0,0,9.399999999999977,0.020182926829268293
1742,M16601,M,298.5,308.0,1363,49.2,149,0,0,0,0,0,0,9.5,0.03609684519442407
1743,L48922,L,298.5,308.0,1379,49.6,152,0,0,0,0,0,0,9.5,0.0359680928208847
1744,M16603,M,298.5,308.0,1713,25.8,154,0,0,0,0,0,0,9.5,0.015061295971978984
1745,M16604,M,298.5,308.0,1461,51.9,157,0,0,0,0,0,0,9.5,0.03552361396303901
1746,L48925,L,298.5,308.0,1624,29.8,160,0,0,0,0,0,0,9.5,0.01834975369458128
1747,L48926,L,298.4,308.0,1526,41.1,162,0,0,0,0,0,0,9.600000000000023,0.026933158584534732
1748,L48927,L,298.4,307.9,2381,14.2,164,0,0,0,0,0,0,9.5,0.005963880722385552
1749,H31162,H,298.4,307.7,1626,31.1,166,0,0,0,0,0,1,9.300000000000011,0.01912669126691267
1750,L48929,L,298.3,307.7,1576,33.8,171,0,0,0,0,0,0,9.399999999999977,0.02144670050761421
1751,M16610,M,298.4,307.8,1617,31.6,173,0,0,0,0,0,0,9.400000000000034,0.019542362399505256
1752,L48931,L,298.3,307.6,1942,20.6,176,0,0,0,0,0,0,9.300000000000011,0.010607621009268795
1753,L48932,L,298.2,307.6,1492,37.2,178,0,0,0,0,0,0,9.400000000000034,0.024932975871313674
1754,L48933,L,298.2,307.5,1470,51.3,180,0,0,0,0,0,0,9.300000000000011,0.034897959183673465
1755,M16614,M,298.0,307.4,1463,46.5,182,0,0,0,0,0,0,9.399999999999977,0.031784005468216
1756,L48935,L,298.0,307.3,1424,46.5,185,0,0,0,0,0,0,9.300000000000011,0.032654494382022475
